COMPANY NAME,Listing date,Lisiting Date,Lisiting Month,Lisiting Year,Issue Size,Issue Price,QIB,HNI,retail,total Subscription,Listing Open (Rs),Listing Close (Rs),Listing Gain %,LTP (Rs),Current Gain %,Status
Ecellent Wires and Packaging Ltd.,19-Sep-24,19,9,2024,12.6,90,0,8.4,30.4,19.4,85,82,-9%,78,-13%,Loss
Innomet Advanced Materials Ltd.,18-Sep-24,18,9,2024,34.2,100,0,299,215.6,282.5,190,199.5,100%,219.9,120%,Profit
P N Gadgil Jewellers Ltd.,17-Sep-24,17,9,2024,1100,480,136.8,56.1,16.6,59.4,830,793.3,65%,731.4,52%,Profit
SPP Polymer Ltd.,17-Sep-24,17,9,2024,24.5,59,0,21.3,56.8,39.1,63,59.9,1%,51.3,-13%,Profit
Kross Ltd.,16-Sep-24,16,9,2024,500,240,23.3,22.2,10.8,16.8,240,259.8,8%,220.6,-8%,Profit
Tolins Tyres Ltd.,16-Sep-24,16,9,2024,230,226,25.4,27.4,21.5,23.9,228,239.4,6%,200.1,-11%,Profit
Bajaj Housing Finance Ltd.,16-Sep-24,16,9,2024,6560,70,209.4,41.5,7,63.6,150,165,136%,163.7,134%,Profit
Shubhshree Biofuels Energy Ltd.,16-Sep-24,16,9,2024,16.6,119,14.7,327.4,179.8,119.4,189,198.4,67%,233.4,96%,Profit
Aditya Ultra Steel Ltd.,16-Sep-24,16,9,2024,45.9,62,1.1,11.9,22.5,10.2,69.9,66.4,7%,61.6,-1%,Profit
Share Samadhan Ltd.,16-Sep-24,16,9,2024,24.1,74,2.7,16.9,18,13.6,73,74.9,1%,71.7,-3%,Profit
Gajanand International Ltd.,16-Sep-24,16,9,2024,20.6,36,0,5.6,23,14.3,42,39.9,11%,32.5,-10%,Profit
Vision Infra Equipment Solutions Ltd.,13-Sep-24,13,9,2024,106.2,163,2.3,2.2,4.1,2.9,205,215.3,32%,188.8,16%,Profit
My Mudra Fincorp Ltd.,12-Sep-24,12,9,2024,33.3,110,25.9,211.9,144.4,95.3,130,123.5,12%,108,-2%,Profit
Shree Tirupati Balajee Agro Trading Company Ltd.,12-Sep-24,12,9,2024,169.7,83,60.8,102.3,33,55.8,90,94.5,14%,83.5,1%,Profit
Mach Conferences and Events Ltd.,11-Sep-24,11,9,2024,125.3,225,146.7,293,136.5,182,300,295.6,31%,253.8,13%,Profit
Namo eWaste Management Ltd.,11-Sep-24,11,9,2024,51.2,85,91.6,524.5,259.7,209.9,161.5,169.6,100%,149.2,76%,Profit
Naturewings Holidays Ltd.,10-Sep-24,10,9,2024,7,74,0,265.8,462.6,364.2,95,90.3,22%,59.9,-19%,Profit
Jeyyam Global Foods Ltd.,9-Sep-24,9,9,2024,81.9,61,29.5,425.7,93.2,111.2,61,64,5%,60,-2%,Profit
Gala Precision Engineering Ltd.,9-Sep-24,9,9,2024,167.9,529,232.5,414.6,92,201.4,721.1,757.1,43%,724.8,37%,Profit
Boss Packaging Solutions Ltd.,6-Sep-24,6,9,2024,8.4,66,0,98.5,156.7,127.6,82.5,86.6,31%,64.7,-2%,Profit
Baazar Style Retail Ltd.,6-Sep-24,6,9,2024,834.7,389,81.8,59.4,9.1,40.7,389,400,3%,356.8,-8%,Profit
Travels & Rentals Ltd.,5-Sep-24,5,9,2024,12.2,40,0,747.8,408.5,578.1,55,57.8,44%,108.3,171%,Profit
Paramatri Technologies Ltd.,4-Sep-24,4,9,2024,33.8,110,0,6,11.3,8.6,115,120.8,10%,106.2,-4%,Profit
Aeron Composite Ltd.,4-Sep-24,4,9,2024,56.1,125,13.8,94.3,42.1,35.8,150,157.5,26%,135.2,8%,Profit
Ecos (India) Mobility & Hospitality Ltd.,4-Sep-24,4,9,2024,601.2,334,136.8,71.2,19.8,64.3,390,443.1,33%,506.6,52%,Profit
Indian Phosphate Ltd.,3-Sep-24,3,9,2024,67.4,99,95.8,586.4,355.3,260.2,188.1,178.7,81%,115,16%,Profit
Jay Bee Laminations Ltd.,3-Sep-24,3,9,2024,28.9,146,37.6,306.6,129.9,110.3,277.4,291.3,100%,273.6,87%,Profit
Premier Energies Ltd.,3-Sep-24,3,9,2024,2830.4,450,216.7,50,7.7,74.4,990,839.9,87%,1109.2,147%,Profit
Vdeal System Ltd.,3-Sep-24,3,9,2024,18.1,112,0,58.6,76.5,67.6,170,178.5,59%,138,23%,Profit
Rapid Multimodal Logistics Ltd.,30-Aug-24,30,8,2024,8.5,84,0,501.8,163.8,332.8,103,108.1,29%,68.3,-19%,Profit
Resourceful Automobile Ltd.,29-Aug-24,29,8,2024,12,117,0,324.3,471.2,397.8,117,122.8,5%,72.8,-38%,Profit
Orient Technologies Ltd.,28-Aug-24,28,8,2024,214.8,206,189.9,300.6,66.8,151.7,288,302.4,47%,303.5,47%,Profit
Ideal Technoplast Industries Ltd.,28-Aug-24,28,8,2024,16,121,0,103.1,109.7,106.4,132.1,138.7,15%,99.5,-18%,Profit
QVC Eports Ltd.,28-Aug-24,28,8,2024,24.1,86,0,566.3,397.8,482.1,161,152.9,78%,66,-23%,Profit
Forcas Studio Ltd.,26-Aug-24,26,8,2024,37.4,80,109.1,932.7,552.3,387.8,152,144.4,81%,95.3,19%,Profit
Brace Port Logistics Ltd.,26-Aug-24,26,8,2024,24.4,80,128.3,1813.5,803,617.3,152,159.6,100%,103.3,29%,Profit
Interarch Building Products Ltd.,26-Aug-24,26,8,2024,600.3,900,205.4,128.4,19.1,93.5,1299,1195.7,33%,1322.4,47%,Profit
Solve Plastic Products Ltd.,21-Aug-24,21,8,2024,11.8,91,0,14.8,40.7,28.7,102,107.1,18%,61.2,-33%,Profit
Broach Lifecare Hospital Ltd.,21-Aug-24,21,8,2024,4,25,0,84,214.5,150.8,47.5,49.9,100%,27.5,10%,Profit
Sunlite Recycling Industries Ltd.,20-Aug-24,20,8,2024,30.2,105,57.8,775.6,334,262.1,199.5,209.4,100%,160.1,53%,Profit
Positron Energy Ltd.,20-Aug-24,20,8,2024,51.2,250,122.8,1071.8,467.7,385.9,475,498.8,100%,461.9,85%,Profit
Saraswati Saree Depot Ltd,20-Aug-24,20,8,2024,160,160,64.1,358.5,61.6,107.4,194,203.7,27%,165.1,3%,Profit
Aesthetik Engineers Ltd.,16-Aug-24,16,8,2024,26.5,58,109.9,2577.7,633.4,663.3,110.2,115.7,100%,77.9,34%,Profit
Unicommerce eSolutions Ltd.,13-Aug-24,13,8,2024,276.6,108,138.8,252.5,131,168.3,235,210.1,95%,225.2,109%,Profit
Brainbees Solutions Ltd.,13-Aug-24,13,8,2024,4193.7,465,19.3,4.7,2.3,12.2,651,679.1,46%,652.5,40%,Profit
Ola Electric Mobility Ltd.,9-Aug-24,9,8,2024,6145.6,76,5.3,2.4,3.9,4.3,76,91.2,20%,111,46%,Profit
Afcom Holdings Ltd.,9-Aug-24,9,8,2024,73.8,108,186.2,512,202.8,281.4,205.2,215.4,100%,401.1,271%,Profit
Picturepost Studios Ltd.,9-Aug-24,9,8,2024,18.7,24,53.6,520.6,418.9,251.5,30,31.5,31%,34.5,44%,Profit
